trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,381,0.2843630994653973,0.7174528303375465,36,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,273409,265597,343,294,,251,9,0.5864274501800537,1.4222040176391602,0.12898564338684082,322.87779092788696,97.94668150403461,3.7155840684309007,80.81395348837209,7.1045233835931505,325.5541138648987
1,207,0.8616750119915967,0.6776849225893458,71,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,249569,242949,321,288,,66,4,0.25899815559387207,0.6770472526550293,0.039103031158447266,205.71588683128357,98.20511154857496,4.372248367997571,83.72093023255815,8.310489106910978,207.15617895126343
2,135,0.7818237317756367,0.4775013637628199,93,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,369130,341697,415,413,,99,20,0.07798218727111816,0.7639687061309814,0.21305441856384277,567.2368447780609,93.29155145582259,1.4114911989372303,98.83720930232558,2.7832351015062216,568.8060998916626
3,120,0.30171191026699157,0.5137679654355585,27,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,314327,292145,367,355,,110,10,0.07999706268310547,1.0261268615722656,0.08563017845153809,316.1854510307312,94.38599563352078,1.615060688630171,94.76744186046511,3.175994933995811,317.9172480106354
4,384,0.3500177950156628,0.4760935215256738,84,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,246396,222612,312,310,,251,4,0.9029495716094971,1.7973709106445312,0.0929877758026123,162.51882576942444,93.36103100878097,1.3035068539231351,90.11627906976744,2.5698416645942137,165.79013109207153
5,214,0.6462009562807735,0.5172254143011197,90,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,348644,323510,394,386,,138,14,0.36539173126220703,1.039133071899414,0.15604877471923828,399.88776874542236,93.6423384671003,1.4797303213378863,98.25581395348837,2.9155524885706887,401.95527720451355
6,278,0.7606657740240322,0.587521286649921,73,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,286362,269335,372,362,,146,8,0.5548202991485596,1.3446829319000244,0.1099405288696289,321.05299186706543,95.71655731639464,2.1253229974160206,95.63953488372093,4.158240647118301,323.5329463481903
7,416,0.8285346179179696,0.7290423829035937,73,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,197133,191652,316,267,,121,5,0.8366696834564209,0.8707699775695801,0.05377364158630371,141.53769516944885,98.5194641601306,4.915316642120766,77.61627906976744,9.245152354570637,143.7447326183319
8,191,0.41479362752429183,0.5211147440328491,8,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,365230,338292,425,418,,152,17,0.13875651359558105,1.0830638408660889,0.27700042724609375,457.94797110557556,93.53614207721267,1.4515851137146796,97.96511627906976,2.860780984719864,459.91788363456726
9,125,0.31465260034574666,0.49403872788153114,9,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,302978,278925,391,381,,113,13,0.11600899696350098,1.0412139892578125,0.10600471496582031,348.55537271499634,93.68978791790116,1.4735727521397688,97.09302325581395,2.9030856149500215,350.30611538887024
10,316,0.5939485384984065,0.6330679266725644,57,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,359235,345853,417,383,,189,17,0.6301019191741943,1.365873098373413,0.24200177192687988,459.406879901886,96.59945602593903,2.594033722438392,93.02325581395348,5.047318611987382,462.2378158569336
11,330,0.9420623739021987,0.7381871381804875,65,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,284869,280078,335,264,,25,3,0.7584950923919678,0.30199170112609863,0.02507328987121582,179.75969004631042,98.71886482837702,5.593220338983051,76.74418604651163,10.42654028436019,181.2927906513214
12,338,0.07451835000842871,0.74800357392919,58,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,160126,154305,307,255,,232,6,0.5268011093139648,1.5764739513397217,0.07499885559082031,108.49804306030273,98.4175043283502,4.420176807072282,74.12790697674419,8.342875838377228,111.13734674453735
13,413,0.921430141848398,0.6886399044290984,41,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,245568,240555,330,279,,39,4,0.7628724575042725,0.27547383308410645,0.022051572799682617,139.27461171150208,98.65898814046167,5.62273276904474,81.1046511627907,10.516396532227667,140.78953886032104
14,332,0.9391260221393607,0.6744063080674993,40,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,331406,324131,371,321,,27,7,0.6682009696960449,0.26500368118286133,0.03599858283996582,303.43284916877747,98.13224274913081,4.287589324777599,85.46511627906976,8.165532564921538,304.8008530139923
16,410,0.9487437061792201,0.6858718328795327,46,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,285477,278255,336,287,,22,3,0.6188614368438721,0.16999459266662598,0.012999773025512695,184.64254426956177,98.03903847077198,4.001115293461592,83.43023255813954,7.636025009977384,185.9135479927063
