trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,185,0.8460603931368081,0.6471414610343823,8,kendal,initial,euclid_jaccard,euclid_jaccard,1,2,False,347994,111036,339,38,,148,2,0.1207273006439209,0.9441468715667725,0.06400322914123535,222.06279397010803,99.44218651588285,2.2261277094317515,11.046511627906977,3.7055095075572893,223.85367155075073
1,119,0.31611744134619046,0.716094940541583,70,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,352133,60782,344,38,,109,6,0.03699755668640137,0.5149984359741211,0.1620008945465088,274.67388463020325,99.48963596668371,2.4691358024691357,11.046511627906977,4.03611258629846,275.9508833885193
2,410,0.783382210312145,0.6781468550261456,84,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,352153,234338,344,39,,248,8,0.5345239639282227,0.8885102272033691,0.3060007095336914,290.4508464336395,99.38118007913891,2.0259740259740258,11.337209302325581,3.4376377258704274,292.7403678894043
3,317,0.7801582363586251,0.4932905093176408,18,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,352844,187770,354,49,,216,6,0.4980483055114746,1.0550823211669922,0.23336029052734375,328.39261651039124,99.40095068363925,2.102425876010782,11.337209302325581,3.547066848567531,330.70300364494324
4,303,0.7115460136314283,0.4976804285256394,68,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,356443,173384,359,49,,208,10,0.2031245231628418,0.7228033542633057,0.31701111793518066,298.69366550445557,99.41196573471804,2.147577092511013,11.337209302325581,3.6111111111111107,300.4525856971741
5,334,0.3187513168342011,0.7400777423339768,38,kendal,initial,euclid_jaccard,euclid_jaccard,1,2,False,350475,191952,342,39,,221,2,0.4428081512451172,0.9498271942138672,0.07812666893005371,191.26600003242493,99.39982093481066,2.097902097902098,11.337209302325581,3.5406264185202,193.272794008255
6,191,0.9183933913891172,0.5653525028459108,25,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,False,352857,118006,344,38,,143,4,0.07812690734863281,0.5870521068572998,0.10166549682617188,234.77612614631653,99.44020945543282,2.2170361726954493,11.046511627906977,3.69290573372206,236.08480215072632
7,290,0.9080858874201923,0.6712098622307092,32,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,356405,166942,350,39,,181,10,0.3124985694885254,0.7242093086242676,0.29140686988830566,300.65511679649353,99.41704960444669,2.169076751946607,11.337209302325581,3.6414565826330536,302.52488899230957
8,371,0.6353855573895892,0.7138598954139832,66,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,False,352768,213350,344,39,,232,4,0.36049556732177734,0.9073305130004883,0.14978837966918945,242.70868921279907,99.39021806976764,2.0602218700475436,11.337209302325581,3.4868126955744296,244.64805507659912
9,238,0.0765637020264843,0.4718096393751266,6,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,356121,140165,346,38,,180,10,0.22214365005493164,0.6954901218414307,0.28356456756591797,308.4510419368744,99.42665246948972,2.1566401816118046,11.046511627906977,3.608736942070275,310.1672320365906
10,143,0.407370040600276,0.5837846850552779,94,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,352667,79708,344,38,,127,6,0.047074317932128906,0.5696854591369629,0.22567033767700195,296.8281478881836,99.47155998542624,2.3705552089831565,11.046511627906977,3.903441191576784,298.246967792511
11,108,0.3665629557578834,0.5891913390882774,99,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,352598,54354,348,39,,100,6,0.03199887275695801,0.5424118041992188,0.18091797828674316,280.7787079811096,99.49274277596234,2.299605781865966,10.174418604651162,3.751339764201501,282.23637795448303
12,110,0.440731815554407,0.5565263748426114,95,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,353224,55401,344,38,,101,8,0.04686737060546875,0.5687072277069092,0.45127344131469727,271.62676095962524,99.49359008758378,2.4918032786885247,11.046511627906977,4.066345639379348,273.2318117618561
13,100,0.18592233478045878,0.5553449981239071,76,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,352586,48911,344,35,,92,8,0.015625476837158203,0.3850686550140381,0.15967464447021484,299.33714151382446,99.49980370614104,2.338009352037408,10.174418604651162,3.8022813688212933,300.494797706604
14,163,0.5582339555774,0.6248382878072617,52,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,352879,86695,350,44,,138,8,0.07300329208374023,0.7685160636901855,0.22800016403198242,296.1744933128357,99.4684531761476,2.3543990086741013,11.046511627906977,3.8815117466802858,297.791072845459
15,206,0.250894254669664,0.5314115403545837,53,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,False,352251,128204,344,38,,168,4,0.09023451805114746,0.6531662940979004,0.11961078643798828,246.34700179100037,99.43004171597549,2.1714285714285713,11.046511627906977,3.629417382999045,247.7673876285553
16,143,0.4438714302113353,0.526840897086855,83,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,352953,79729,348,38,,127,8,0.033667802810668945,0.5539300441741943,0.2129042148590088,281.8068325519562,99.47155998542624,2.3705552089831565,11.046511627906977,3.903441191576784,283.3693425655365
17,245,0.5047784864656242,0.6122493973720408,58,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,352631,141932,346,38,,182,8,0.3137075901031494,0.7691092491149902,0.2225492000579834,300.3045563697815,99.42495784624683,2.1493212669683257,11.046511627906977,3.598484848484848,302.1436085700989
18,135,0.14078893461857075,0.7497367986152875,92,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,352484,73741,344,38,,121,6,0.042002201080322266,0.7759981155395508,0.2916572093963623,289.65865087509155,99.474949231912,2.388434946574481,11.046511627906977,3.92764857881137,291.32535099983215
19,211,0.26863934356811714,0.69324973312361,77,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,352287,128214,344,38,,168,6,0.10990691184997559,0.7350022792816162,0.17762446403503418,298.97013759613037,99.43004171597549,2.1714285714285713,11.046511627906977,3.629417382999045,300.5032308101654
20,272,0.5729030886697282,0.6341176796515886,87,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,False,352154,154302,344,39,,193,4,0.3240058422088623,0.8562324047088623,0.1340034008026123,228.81148147583008,99.42043885093247,2.1836506159014557,11.337209302325581,3.6619718309859155,230.66545939445496
21,147,0.1298790727172154,0.7427957966007599,92,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,352192,80811,344,38,,129,6,0.03125190734863281,0.5047073364257812,0.18868064880371094,268.4550709724426,99.47127754821909,2.369077306733167,11.046511627906977,3.9014373716632447,269.69605231285095
22,120,0.19329562692280772,0.7247767924731796,72,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,352137,60782,344,38,,109,8,0.03499960899353027,0.43145084381103516,0.1940009593963623,274.4638319015503,99.48963596668371,2.4691358024691357,11.046511627906977,4.03611258629846,275.64528799057007
23,114,0.2477939597936725,0.7115528044204563,68,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,352135,57658,344,38,,105,8,0.031999826431274414,0.4561750888824463,0.18799901008605957,260.53226470947266,99.49217790154805,2.4836601307189543,11.046511627906977,4.055496264674493,261.73264360427856
24,165,0.2908220535531756,0.7042035299177953,59,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,352225,86991,344,38,,139,10,0.05826997756958008,0.5490014553070068,0.27899932861328125,293.86494040489197,99.4684531761476,2.3543990086741013,11.046511627906977,3.8815117466802858,295.256813287735
25,124,0.36086558092625143,0.6594555395639052,49,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,352157,64342,344,38,,113,8,0.02800297737121582,0.5059936046600342,0.17199993133544922,302.4134793281555,99.48596428299078,2.448453608247423,11.046511627906977,4.008438818565401,303.71647787094116
